Order,Cat,Day,Group,Plate,Worm,File,Track ,Length,Distance,#Frames,1stFrame,time(s),MaxSpeed,AvgArea,StdArea,AvgPerim,StdPerim,AvgSpeed,BLPS,avgX,avgY
156,1,8,NMN+CR,3,2,D8_NMN+CR_P3_2,1,1.7377822,1.2936387,739,0,29.56,2.130262367,0.036190383,9.80E-04,1.8268546,0.068296514,0.058788303,0.064360134,3.4404876,1.4119008
171,1,12,CR,1,1,D12_CR_P1_1,1,1.5375295,1.2856425,748,0,29.92,0.189899467,0.032238085,5.38E-04,1.7162321,0.048075415,0.051388014,0.059884693,2.295002,1.77039
169,1,12,Control,5,1,D12_Con_P5_1,1,1.7555786,1.2705568,745,0,29.8,0.980758201,0.04173088,0.001258977,2.142344,0.09270878,0.058912035,0.05499774,2.486649,2.0188928
13,1,4,CR,2,1,D4_CR_P2_1,1,2.223132,1.2616892,737,0,29.48,0.244386122,0.030733535,4.33E-04,1.5868601,0.040188976,0.07541153,0.09504497,1.1882219,2.1202507
112,1,8,MET+CR,1,2,D8_MET+CR_P1_2,1,2.02889,1.1244751,746,0,29.84,0.452950876,0.029752577,5.32E-04,1.6708665,0.08884331,0.06799229,0.081385665,3.426881,2.180281
64,1,4,NMN,2,2,D4_NMN_P2_2,1,1.6964321,1.120091,755,0,30.2,0.226623309,0.038895313,4.80E-04,1.9883051,0.05566335,0.056173246,0.05650365,3.2633703,2.2338798
11,1,4,CR,1,1,D4_CR_P1_1,1,1.4520513,1.1195471,758,0,30.32,1.144230366,0.03303507,6.62E-04,1.7274437,0.114760935,0.04789087,0.0554471,2.9660842,1.9651896
179,1,12,CR,5,1,D12_CR_P5_1,1,1.363479,1.1110257,758,0,30.32,0.160090753,0.028771292,4.07E-04,1.6510013,0.05005322,0.044969626,0.05447558,3.5873942,2.198987
37,1,4,MET+CR,4,1,D4_MET+CR_P4_1,1,1.2496858,1.1080562,754,0,30.16,0.138201402,0.029098716,2.22E-04,1.5512661,0.05443361,0.041435204,0.053421143,3.0250843,1.6186095
2,1,4,Control,1,2,D4_Con_P1_2,2,1.274538,1.0985845,747,0,29.88,0.158482941,0.042584617,6.09E-04,1.8979195,0.03087982,0.042655226,0.044949457,1.6973058,1.768014
115,1,8,MET+CR,3,1,D8_MET+CR_P3_1,1,2.2497957,1.08648,742,0,29.68,1.029695477,0.034129106,0.001426256,1.8446082,0.23057914,0.075801745,0.08218736,2.609112,2.2022185
196,1,12,MET+CR,3,1,D12_MET+CR_P3_1,1,1.2231414,1.0775149,734,0,29.36,0.180289173,0.03373782,7.08E-04,1.7290404,0.07729327,0.04166013,0.04818873,3.0439608,1.5225378
235,1,12,NMN+CR,2,2,D12_NMN+CR_P2_2,1,1.3517983,1.0712883,748,0,29.92,0.182073808,0.035996605,5.20E-04,1.8025008,0.043246023,0.045180425,0.05013082,1.8653418,1.9551235
56,1,4,MET+NMN+CR,3,2,D4_MET+NMN+CR_P3_2,1,1.2789077,1.0466956,752,0,30.08,0.150404917,0.038100988,4.56E-04,1.8249959,0.04423443,0.042516876,0.04659394,3.6383607,2.4867547
29,1,4,MET,5,1,D4_MET_P5_1,1,1.1964781,1.0296663,740,0,29.6,0.163069949,0.041346572,4.27E-04,2.0016823,0.074814364,0.040421557,0.040387586,3.920947,1.4321657
24,1,4,MET,2,2,D4_MET_P2_2,1,1.2889609,1.0185115,759,0,30.36,0.152611604,0.038885754,5.96E-04,1.937987,0.06005087,0.042455893,0.04381443,3.1438572,2.2403557
101,1,8,MET,1,1,D8_MET_P1_1,1,1.4519513,0.9958895,748,0,29.92,0.251746085,0.045110717,6.40E-04,2.1807332,0.079573,0.04852778,0.04450593,2.857704,2.1600487
316,1,15,NMN+CR,3,2,D15_NMN+CR_P3_2,1,1.3284622,0.9840701,754,0,30.16,0.190883072,0.0344266,8.14E-04,1.6932011,0.03243975,0.044047154,0.05202826,1.534791,0.7552766
77,1,4,NMN+CR,4,1,D4_NMN+CR_P4_1,1,1.6728883,0.97899157,755,0,30.2,0.329918228,0.038367745,9.76E-04,1.8596522,0.09246435,0.05539365,0.059574205,0.983446,1.2621094
71,1,4,NMN+CR,1,1,D4_NMN+CR_P1_1,1,1.349297,0.97355944,746,0,29.84,0.263641565,0.038611483,5.81E-04,1.9165969,0.057541948,0.04521773,0.047185436,3.9424224,1.4576116
5,1,4,Control,3,1,D4_Con_P3_1,1,1.1450962,0.9622565,744,0,29.76,0.212438777,0.035281308,4.48E-04,1.7732426,0.052051555,0.038477696,0.04339812,3.9663978,2.0372307
113,1,8,MET+CR,2,1,D8_MET+CR_P2_1,1,1.2146763,0.9427118,752,0,30.08,0.15434986,0.026912833,3.96E-04,1.5619619,0.048145257,0.040381525,0.05170616,2.9095798,1.8226572
47,1,4,MET+NMN,4,1,D4_MET+NMN_P4_1,1,1.2438017,0.9381842,741,0,29.64,0.187178212,0.039965868,4.30E-04,1.8738173,0.042740837,0.04196362,0.044789445,1.5288769,1.889756
57,1,4,MET+NMN+CR,4,1,D4_MET+NMN+CR_P4_1,1,1.1993734,0.91781294,744,0,29.76,0.236301776,0.037757393,4.97E-04,1.8927529,0.066174135,0.040301524,0.04258509,0.9001624,2.9793367
160,1,8,NMN+CR,5,2,D8_NMN+CR_P5_2,1,2.1560175,0.9129117,743,0,29.72,0.336343911,0.039703645,5.27E-04,2.0194724,0.06361613,0.07254433,0.07184484,2.773364,2.1484606
79,1,4,NMN+CR,5,1,D4_NMN+CR_P5_1,1,1.5767394,0.90324134,757,0,30.28,0.211086147,0.036325492,6.50E-04,1.8427746,0.055440098,0.052071974,0.05651475,3.6473598,2.17853
212,1,12,MET+NMN+CR,1,1,D12_MET+NMN+CR_P1_1,1,1.1473813,0.90125453,744,0,29.76,0.164855411,0.035421364,5.26E-04,1.8207909,0.062693566,0.038554482,0.04234916,2.8816237,1.3909959
44,1,4,MET+NMN,2,2,D4_MET+NMN_P2_2,1,1.1153104,0.8802303,747,0,29.88,0.136999262,0.04135526,5.22E-04,1.9369825,0.054305904,0.037326317,0.038540687,2.7209,1.7311939
157,1,8,NMN+CR,4,1,D8_NMN+CR_P4_1,1,1.2832716,0.86842847,759,0,30.36,0.271498831,0.040673777,6.63E-04,2.0735505,0.08289372,0.0422685,0.0407692,3.955804,2.2789955
