 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
226,mCherry_D13_MET+NMN+CR_P5.tif:0361-0757,3541,11.647,2.119,12,5,20,583.288,12
227,mCherry_D13_MET+NMN+CR_P5.tif:Background,23868,10.536,1.63,10,4,49,658,11
228,mCherry_D13_MET+NMN_P1.tif:0829-0266,5161,6.327,1.68,6,1,13,634.719,6
229,mCherry_D13_MET+NMN_P1.tif:0855-0659,8698,6.955,1.769,7,1,18,827.047,7
230,mCherry_D13_MET+NMN_P1.tif:0221-0763,6742,6.903,1.709,7,1,14,678.899,7
231,mCherry_D13_MET+NMN_P1.tif:0329-1005,6287,6.922,1.601,7,1,14,711.175,7
232,mCherry_D13_MET+NMN_P1.tif:Background,217140,5.834,1.462,6,0,48,2318,6
233,mCherry_D13_MET+NMN_P2.tif:0470-0363,3823,7.135,1.868,7,2,15,581.607,7
234,mCherry_D13_MET+NMN_P2.tif:0442-0376,5578,6.784,1.632,7,2,14,634.371,7
235,mCherry_D13_MET+NMN_P2.tif:0794-0710,4408,7.676,2.012,7,2,18,673.07,7
236,mCherry_D13_MET+NMN_P2.tif:0720-0694,5647,7.119,1.814,7,2,15,632.897,7
237,mCherry_D13_MET+NMN_P2.tif:0422-0941,5544,7.442,1.785,7,2,15,685.877,7
238,mCherry_D13_MET+NMN_P2.tif:Background,53568,6.028,1.45,6,0,12,1338,6
239,mCherry_D13_MET+NMN_P3.tif:0735-0461,7337,6.093,1.644,6,0,14,692.263,6
240,mCherry_D13_MET+NMN_P3.tif:0722-0685,4407,6.841,1.866,7,2,20,626.102,7
241,mCherry_D13_MET+NMN_P3.tif:0349-0843,6201,7.315,1.874,7,2,15,712.136,7
242,mCherry_D13_MET+NMN_P3.tif:Background,42504,6.043,1.474,6,0,27,850,6
243,mCherry_D13_MET+NMN_P4.tif:0502-0845,5346,6.794,1.638,7,2,13,676.936,7
244,mCherry_D13_MET+NMN_P4.tif:Background,27636,5.765,1.439,6,0,24,776,6
245,mCherry_D13_MET+NMN_P4.tif:0710-1206,5828,6.608,2.052,6,0,17,698.29,6
246,mCherry_D13_MET+NMN_P4.tif:Background,28762,5.461,1.413,5,0,13,686,5
247,mCherry_D13_MET+NMN_P5.tif:0781-0511,5464,5.978,1.599,6,1,12,663.136,6
248,mCherry_D13_MET+NMN_P5.tif:0227-0681,6888,6.575,1.884,6,1,15,716.185,6
249,mCherry_D13_MET+NMN_P5.tif:0419-0893,7527,6.398,1.71,6,1,16,766.308,6
250,mCherry_D13_MET+NMN_P5.tif:Background,86403,5.346,1.426,5,0,11,1192,5
251,mCherry_D13_MET_P1.tif:0392-0530,5482,7.41,1.953,7,1,23,681.782,7
252,mCherry_D13_MET_P1.tif:0730-0824,5728,7.23,1.669,7,2,15,732.771,7
253,mCherry_D13_MET_P1.tif:Background,55449,6.439,1.477,6,1,19,1300,6
254,mCherry_D13_MET_P2.tif:0557-0549,4680,8.061,1.939,8,2,22,635.058,8
255,mCherry_D13_MET_P2.tif:0634-0789,6242,7.684,1.775,7,2,18,684.655,8
256,mCherry_D13_MET_P2.tif:Background,22624,6.738,1.489,7,0,13,650,7
257,mCherry_D13_MET_P3.tif:0585-0730,4148,7.345,1.819,7,2,20,631.499,7
258,mCherry_D13_MET_P3.tif:0547-0767,5029,7.145,1.818,7,2,20,709.119,7
259,mCherry_D13_MET_P3.tif:Background,42912,6.053,1.481,6,1,56,874,6
260,mCherry_D13_MET_P4.tif:0579-0273,6345,5.673,1.612,6,1,13,715.954,6
261,mCherry_D13_MET_P4.tif:0752-0787,5302,6.321,1.654,6,1,15,641.586,6
262,mCherry_D13_MET_P4.tif:0437-1093,4888,6.495,1.547,6,1,12,641.17,6
263,mCherry_D13_MET_P4.tif:Background,158025,5.452,1.463,5,0,94,1900,5
264,mCherry_D13_MET_P5.tif:0397-0556,5431,6.493,1.704,6,1,17,711.616,6
265,mCherry_D13_MET_P5.tif:0642-0551,4835,6.426,1.717,6,1,15,667.824,6
266,mCherry_D13_MET_P5.tif:0809-0666,5697,6.216,1.607,6,1,14,618.763,6
267,mCherry_D13_MET_P5.tif:0606-0654,6289,6.426,1.842,6,1,18,689.015,6
268,mCherry_D13_MET_P5.tif:Background,39520,5.698,1.436,6,0,12,814,6
269,mCherry_D13_NMN+CR_P1.tif:0441-0562,4829,6.914,1.979,7,0,15,654.06,7
270,mCherry_D13_NMN+CR_P1.tif:0627-0838,4991,6.76,1.843,7,1,19,662.698,7
271,mCherry_D13_NMN+CR_P1.tif:Background,58875,5.605,1.431,6,0,39,1192,6
272,mCherry_D13_NMN+CR_P2.tif:0658-0352,3484,6.3,1.948,6,1,17,547.092,6
273,mCherry_D13_NMN+CR_P2.tif:0650-1041,4280,6.706,1.961,6,1,16,638.159,7
274,mCherry_D13_NMN+CR_P2.tif:Background,77910,5.227,1.424,5,0,11,1354,5
275,mCherry_D13_NMN+CR_P3.tif:0257-0258,3205,6.781,2.058,6,1,15,565.085,7
276,mCherry_D13_NMN+CR_P3.tif:Background,22272,5.228,1.393,5,0,11,656,5
277,mCherry_D13_NMN+CR_P3.tif:0845-1002,4355,7.632,1.965,7,1,18,643.083,8
278,mCherry_D13_NMN+CR_P3.tif:Background,31365,6.244,1.573,6,1,20,716,6
279,mCherry_D13_NMN+CR_P4.tif:0551-0331,4286,6.723,1.947,7,1,15,644.998,7
280,mCherry_D13_NMN+CR_P4.tif:0817-0684,3769,6.956,1.729,7,0,14,589.335,7
281,mCherry_D13_NMN+CR_P4.tif:0599-0728,4131,7.179,1.83,7,2,17,620.941,7
282,mCherry_D13_NMN+CR_P4.tif:0666-0856,4059,7.348,1.86,7,1,16,599.894,7
283,mCherry_D13_NMN+CR_P4.tif:Background,165026,5.622,1.43,6,0,73,1950,6
284,mCherry_D13_NMN+CR_P5.tif:0257-0353,4196,7.127,2.06,6,1,16,632.094,7
285,mCherry_D13_NMN+CR_P5.tif:0482-0663,4756,6.96,2.139,6,1,18,620.634,7
